brand,disc_price,discount,original_price,rating,return_policy,review,std_deliver_fee,title
No Brand,৳ 420,-38%,৳ 680,1 Ratings,7 Day Return,1 Answered Questions,Free,New exclusive designed  1piece Kurti
No Brand,৳ 535,-37%,৳ 850,13 Ratings,7 Day Return,7 Answered Questions,৳ 66,Pink Joypuri Cotton Unstitched Skin Print High Quality Three Piece For Women - Dress For Girls - 3 Pice Dress - Three Piece - 3 Pice Dress
No Brand,৳ 590,-56%,"৳ 1,350",17 Ratings,7 Day Return,20 Answered Questions,৳ 66,Puja Special Belvet Halfsilk Saree For Women - Sari - Sari
No Brand,৳ 499,-67%,"৳ 1,500",1 Ratings,7 Day Return,1 Answered Questions,৳ 66,"Latest Designed, High Quality China Lilen fabrics, Afsan Print, Fashionable, Stylish and Comfortable"
No Brand,৳ 330,-72%,"৳ 1,200",10 Ratings,7 Day Return,11 Answered Questions,৳ 66,Moslin Than Saree for womens(Sky blue) - Sari - Sari
No Brand,৳ 599,-61%,"৳ 1,550",11 Ratings,7 Day Return,,৳ 75,Multicolor Rich Fabric Traditional Weightless Tangail Jamdani Saree for Women Many Colours Available
No Brand,৳ 495,-48%,৳ 950,2 Ratings,7 Day Return,3 Answered Questions,৳ 66,tangail trendy hairloom show Jamdani saree for Women - Sari - Saree - শাড়ি
No Brand,৳ 499,-64%,"৳ 1,400",1 Ratings,7 Day Return,1 Answered Questions,৳ 66,New Design Embroidery Work Weightless Georgette Four Piece For Women Fashionable Comfortable Embroidery Work Dress - Dress For Girls - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 395,-58%,৳ 950,1 Ratings,7 Day Return,2 Answered Questions,৳ 66,Exclusive afsan skin Unstitched Japani Silk Shalwer Kameez orna For Women Three Piece(3pice) for women - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 550,-45%,"৳ 1,000",20 Ratings,7 Day Return,21 Answered Questions,৳ 66,Satin Stitch Embroidery work Unstitched Weightless Georgette Shalwar Kameez Four Piece (4 Piece) - 3 Pice Dress
No Brand,৳ 379,-78%,"৳ 1,699",10 Ratings,7 Day Return,40 Answered Questions,৳ 66,Japani Soft Silk Sharee For Women - Jam - Sari - Saree - শাড়ি - Sari
No Brand,৳ 249,-34%,৳ 380,5 Ratings,7 Day Return,4 Answered Questions,৳ 66,Readymade Round Stylish Fashionable Hot Kurti For Girls Long Pure Soft Linen (1 Pcs) ShadaMon Shop F-1 - Kurti For Girls
No Brand,৳ 630,-28%,৳ 870,No Ratings,7 Day Return,,Free,"Orbit Lawn cotton Unstitched Digital Print Exclusive Fashionable, Stylish and Comfortable Salwar Kameez cloth for Women"
No Brand,৳ 999,-32%,"৳ 1,480",No Ratings,7 Day Return,,৳ 89,exclusive collection 3 part tops koti and pant set//western dress for women
No Brand,৳ 540,-45%,৳ 990,No Ratings,7 Day Return,,৳ 66,Unstitched Shalwar Kameez Cotton Skin Print Three Pieces for Women
No Brand,৳ 668,-57%,"৳ 1,560",No Ratings,7 Day Return,,৳ 66,Eid new fashionable linen long ground Kurtis two piece collection for women and girls
No Brand,৳ 399,-73%,"৳ 1,499",3 Ratings,7 Day Return,2 Answered Questions,৳ 66,Japani Soft Silk Sharee For Women - Sharee For Women - Sari - Sari
No Brand,৳ 529,-47%,৳ 990,No Ratings,7 Day Return,,৳ 66,Exclusive Cotton Unstitched Skin Print High Quality Three Piece For Women
No Brand,৳ 550,-15%,৳ 650,6 Ratings,7 Day Return,2 Answered Questions,৳ 66,Latest Collection with Trendy Desing Multicolor Gramen Check Saree For Women No Blouse Peice - Sari - Sari - Saree - শাড়ি
No Brand,৳ 440,-56%,"৳ 1,000",1 Ratings,7 Day Return,,৳ 66,Monipuri Jum Saree for Women
No Brand,৳ 430,-22%,৳ 550,42 Ratings,7 Day Return,29 Answered Questions,৳ 66,Eye Catching Design With Gorgeous Collection Rich-Febrics Multicolor Dhupian Shade Shatkahon Saree For Women - Sari - Saree - শাড়ি
No Brand,৳ 499,-81%,"৳ 2,600",3 Ratings,7 Day Return,1 Answered Questions,৳ 66,High Quality China Lily Cotton Fabric With Digital Printed Readymade Kurtis for Women.
No Brand,৳ 510,-22%,৳ 650,22 Ratings,7 Day Return,2 Answered Questions,৳ 66,Dhupiyan Silk Saree for women  13 Haat - Sari - Sari
No Brand,৳ 700,,,2 Ratings,7 Day Return,3 Answered Questions,৳ 66,Weightless Georgette four piece with embroidery work - 3 Pice Dress - 3 Pice Dress
No Brand,"৳ 1,050",-30%,"৳ 1,500",No Ratings,7 Day Return,,৳ 66,Awesome and Unique Designar Readymade Diamond Jorjet Tops Three Pieces Multicolor for Smart and Stylish Women/Girls.
No Brand,৳ 599,-60%,"৳ 1,500",30 Ratings,7 Day Return,36 Answered Questions,৳ 66,Exclusive Readymade Georgette One Piece For Women - Kurti For Girls
No Brand,৳ 499,-50%,৳ 999,2 Ratings,7 Day Return,1 Answered Questions,৳ 66,White Color 12 Hand Half silk saree For women By Mistu Fashion - Sari
No Brand,৳ 440,-82%,"৳ 2,500",35 Ratings,7 Day Return,24 Answered Questions,৳ 89,Multicolor Tangail saree  for Women - Sari - Sari
No Brand,৳ 279,-77%,"৳ 1,200",34 Ratings,7 Day Return,90 Answered Questions,৳ 66,Unstitched Green Georgette Kurti for Women-[1 Piece]
No Brand,৳ 530,-47%,৳ 999,1 Ratings,7 Day Return,,৳ 66,Unstiched Skin Print  Cotton Three Piece Salwer Kamez   For Women.
No Brand,৳ 379,-76%,"৳ 1,550",16 Ratings,7 Day Return,15 Answered Questions,৳ 66,Japani Soft Silk Sharee For Women - Deep Green - Sari - Sari
,,,,,,,,
No Brand,৳ 379,-76%,"৳ 1,599",7 Ratings,7 Day Return,12 Answered Questions,৳ 66,Japani Silk Exclusive Design Saree for Women - Dark Ash - Sari - Sari - Sari
No Brand,৳ 349,-36%,৳ 549,3 Ratings,7 Day Return,2 Answered Questions,৳ 75,Baby Katan Shari - Child Katan Sharee - Baccader Katan Saree - Sisuder Tat Shari - Special Occasion Shares - Tangail Katan Share - Gift Saree - Paka Rong - Festival Sarees - Holud er Sharees - 9 Hat Sari
No Brand,৳ 719,-52%,"৳ 1,500",1 Ratings,7 Day Return,1 Answered Questions,৳ 66,Monipuri Tat Cotton Unstitched Three Piece Shalwar Kameez (3 Piece) - 3 Pice Dress
No Brand,৳ 591,-53%,"৳ 1,250",1 Ratings,7 Day Return,,৳ 66,New exclusive designed Linen Screen Print Gown Poppon Work 3piece long kurti For Stylish Women / Girls - 3 Pice Dress - 3 Pice Dress
No Brand,"৳ 1,046",-25%,"৳ 1,400",No Ratings,7 Day Return,,Free,Uncommon Eid Special Collection Indian Mumbai Rongdhonu Aari Three Pieces Multicolor for Fashionable Women/Girls.
No Brand,৳ 999,-33%,"৳ 1,499",4 Ratings,7 Day Return,8 Answered Questions,৳ 66,New Attractive Eid Collection 2022 Exclusive 2 Piece Skirt Kurti - Kurti For Girls - Kurti For Girls
No Brand,"৳ 1,299",-24%,"৳ 1,699",1 Ratings,7 Day Return,1 Answered Questions,৳ 66,Ash Pink Color Nice Combination Designer Good work Perfect  Print Nice Half and Dupain Silk Saree & Dupain Silk Panjabi Comb For Couple Set - Sari - Sari
No Brand,৳ 270,-58%,৳ 650,16 Ratings,7 Day Return,15 Answered Questions,৳ 66,Moslin Than Sarees For Women by  Tangail Saree Online Shopping
No Brand,৳ 251,-58%,৳ 599,2 Ratings,7 Day Return,,৳ 66,Half Silk Saree Red Color 599 Shop Saree Same as picture Saari for woman Sari collection Saree for woman Tangail saree Shari for woman Saari for girl Saari for woman - Sari - Sari - Saree - শাড়ি
No Brand,৳ 350,-50%,৳ 700,4 Ratings,7 Day Return,,৳ 66,Fashionable Dupian  Check Silk Saree for Women - Sari - Saree - শাড়ি
No Brand,৳ 270,-16%,৳ 320,No Ratings,7 Day Return,,৳ 89,Fashion Trends Stylish Solid Linen Plain Stripe Print   Palazzo For Women
No Brand,৳ 242,-56%,৳ 550,10 Ratings,7 Day Return,11 Answered Questions,৳ 66,Readymade Stylish Printed Koti Hot Kurti For Girls (1 Pcs) ShadaMon Shop - Kurti For Girls
No Brand,৳ 990,-46%,"৳ 1,850",No Ratings,7 Day Return,,৳ 89,Lilen fabric with skin print work and Ambrose skin print on the neck//long gown for women with screen print orna
No Brand,৳ 999,-39%,"৳ 1,650",1 Ratings,7 Day Return,,৳ 66,"Slap Cotton Three piece, Stylish and Comfortable, High Quality Three Piece for Women - Dress For Girls"
No Brand,"৳ 1,110",-23%,"৳ 1,450",1 Ratings,7 Day Return,,Free,sharee for women jamdani
,,,,,,,,
,,,,,,,,
No Brand,৳ 410,-63%,"৳ 1,100",2 Ratings,7 Day Return,6 Answered Questions,৳ 66,"Embroidery Work long kurti, deferent kurti, China Lilen clothes, long 1 piece Kurtis For Women/Girls - Kurti For Girls - Kurti For Girls"
No Brand,৳ 201,-55%,৳ 450,5 Ratings,7 Day Return,4 Answered Questions,৳ 66,Readymade Linen Long Stylish Hot Kurti For Girls (1 Pcs) ShadaMon Shop PL-00 - Kurti For Girls
No Brand,৳ 550,-42%,৳ 950,No Ratings,7 Day Return,1 Answered Questions,৳ 66,Readymade Tops Tow Piece Collection by China Lilen for Girls and Women.
No Brand,৳ 550,-65%,"৳ 1,550",1 Ratings,7 Day Return,,৳ 66,Exclusive Fashionable Half SilkNakfull Jamdani Saree For Women By Online Saree Bazar - Sari - Sari
No Brand,৳ 499,-69%,"৳ 1,600",71 Ratings,7 Day Return,24 Answered Questions,৳ 66,Unstitched CottonSalwar Kameez For Women - 3 Pice Dress - 3 Pice Dress
No Brand,৳ 546,-58%,"৳ 1,299",37 Ratings,7 Day Return,25 Answered Questions,৳ 89,"Latest Designed, High Quality Cotton Fabric, Exclusive, Fashionable, Stylish And Comfortable, Salwar Kameez For Women -  Dress For Girls - 3 Pice Dress - 3 Pice Dress"
No Brand,"৳ 1,790",-55%,"৳ 4,000",16 Ratings,7 Day Return,58 Answered Questions,৳ 66,Exclusive Georgette New Stylish Salwar Kameez
No Brand,৳ 250,-38%,৳ 400,No Ratings,7 Day Return,,৳ 66,Readymade Round Stylish Fashionable Hot Kurti For Girls Long Pure Soft Linen (1 Pcs) ShadaMon Shop
No Brand,৳ 415,-67%,"৳ 1,250",2 Ratings,7 Day Return,2 Answered Questions,৳ 66,Unstitched Block Printed Cotton Salwar Kamiz - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 860,-66%,"৳ 2,550",5 Ratings,7 Day Return,2 Answered Questions,Free,Exclusive Unstitched Half Silk Hand Work Salwar Kamiz (Made By Tant)
No Brand,৳ 999,-17%,"৳ 1,200",No Ratings,7 Day Return,,Free,Net Work Unstitch Function Wear/Party Dress for Women
No Brand,৳ 500,-63%,"৳ 1,350",54 Ratings,7 Day Return,36 Answered Questions,৳ 66,New Fashionable Unstiched Screen Printed Three Piece For Women ( 3 Piece ) -  Dress For Girls - Dress For Girls - 3 Pice Dress - Three Piece - 3 Pice Dress
No Brand,৳ 650,-61%,"৳ 1,650",6 Ratings,7 Day Return,7 Answered Questions,৳ 89,Multicolor nakshikatha saree for women
No Brand,৳ 550,-54%,"৳ 1,200",1 Ratings,7 Day Return,,৳ 66,Sikol Par Tangail Tant Saree For Women (Purple) - Sari - Saree - শাড়ি
No Brand,৳ 255,-87%,"৳ 2,000",5 Ratings,7 Day Return,7 Answered Questions,৳ 66,Blue & Golden Combnation 12 Hand Half Silk Saree for Women - Sari
No Brand,৳ 379,-76%,"৳ 1,550",1 Ratings,7 Day Return,1 Answered Questions,৳ 66,Italian Soft Silk Exclusive Design Saree for Women-Jam
,,,,,,,,
No Brand,৳ 525,-66%,"৳ 1,550",2 Ratings,7 Day Return,2 Answered Questions,৳ 66,New Georgious Unstiched Afsan Printed Three Piece For Women ( 3 Pieces ) - Dress For Girls - 3 Pice Dress - Three Piece
No Brand,৳ 499,-67%,"৳ 1,499",3 Ratings,7 Day Return,5 Answered Questions,৳ 66,New Georgious Unstiched Afsan Printed Three Piece For Women - 3 Pice Dress - 3 Pice Dress
,,,,,,,,
No Brand,"৳ 1,890",-27%,"৳ 2,600",3 Ratings,7 Day Return,,৳ 66,AF Unstiched Embroidery Gorgeous Pakistani Georgette 4 piece girls for women
No Brand,৳ 550,-56%,"৳ 1,250",8 Ratings,7 Day Return,15 Answered Questions,৳ 66,"Stylish Women Dubai Long Kurti , China Linen"
No Brand,৳ 379,-76%,"৳ 1,550",13 Ratings,7 Day Return,10 Answered Questions,৳ 66,Japani Soft Silk Saree for Women - Deep Jam - Sari - Saree - শাড়ি
No Brand,৳ 599,-54%,"৳ 1,290",1 Ratings,7 Day Return,2 Answered Questions,৳ 66,Style choice full Garara Tow piece dress collection for woman and girls [ 2 piece ] - Dress For Girls - 3 Pice Dress - Three Piece
